"","","","kultgames","","versusgamecenter","","arenaporto","","gameplay","","jogonamesa","","dracotienda","","cultodacaixa","","gglounge","","diver","","juegosdelamesaredonda","","planetongames","","amazon.es","","devir"
"Thanos Rising: Avengers Infinity War","44.39","jogonamesa.pt","0",,"0",,"0",,"0",,"44.39","Esgotado","49.95","Disponible","0.0","esgotado","0",,"63.99","Esgotado","46.75","EN STOCK","0",,"10000.0","Not found.","0",
"Ticket to Ride: Europe","37.9","gglounge.pt","49.95","Delivery in 1 to 2 weeks time","0",,"47.49","Esgotado","44.95","Em stock","39.5","em 17 dias","0",,"39.9","Out of stock","37.9","Only 1 left in stock","49.99","Disponivel","0",,"40.45","Este producto ya no está disponible","10000.0","Not found.","0",
"Tokaido","32.32","jogonamesa.pt","0",,"0",,"47.49","Esgotado","42.99","Esgotado","32.32","Esgotado","0",,"0.0","esgotado","0",,"40.5","Encomenda ao fornecedor","39.95","EN REPOSICIÓN","36.0","Este producto ya no está disponible","10000.0","Not found.","0",
"Viscounts of the West Kingdom","48.0","jogonamesa.pt","0",,"0",,"56.99","Últimos artigos em stock","54.95","Em stock","48.0","17 dias","49.99","Fuera de stock","48.9","Em stock","0",,"53.99","Encomenda ao fornecedor","0",,"0",,"0",,"0",
"Warsaw: City of Ruins","0","","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Like to Have","0","","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Alhambra","22.9","cultodacaixa.pt","0",,"39.9","Disponível","29.99","Esgotado","39.95","Última unidade em stock","26.46","em 17 dias","27.0","Disponible","22.9","Em stock","0",,"29.99","Disponível","26.95","EN STOCK","27.0","Producto en stock","10000.0","Not found.","2000.0","not implemented yet"
"Alhambra Big Box","71.95","www.planetongames.com","0",,"0",,"0",,"0",,"0.0","esgotado","0",,"0",,"0",,"0",,"0",,"71.95","Este producto ya no está disponible","0",,"0",
"Altiplano","34.63","jogonamesa.pt","0",,"0",,"0",,"49.9","Última unidade em stock","34.63","em 17 dias","44.96","Fuera de stock","0.0","esgotado","40.9","Only 1 left in stock","74.99","Disponível","44.96","EN STOCK","44.96","Este producto ya no está disponible","10000.0","Not found.","0",
"Arboretum","17.95","juegosdelamesaredonda.com","18.95","Delivery in 1 to 2 weeks time","0",,"26.59","Esgotado","21.9","Em stock","17.96","em 17 dias","20.0","Fuera de stock","0.0","esgotado","0",,"27.99","Disponivel","17.95","EN STOCK","17.95","Producto en stock","0",,"0",
"Arboretum Deluxe","35.0","gameplay.pt","0",,"0",,"0",,"35.0","Em stock","0",,"0",,"0",,"0",,"0",,"0",,"0",,"10000.0","Not found.","0",
"Bandido","10.75","juegosdelamesaredonda.com","0",,"0",,"0",,"13.99","Em stock","0.0","esgotado","12.95","Disponible","0.0","esgotado","0",,"0",,"10.75","EN STOCK","0",,"10000.0","Not found.","0",
"The Banishing","22.95","dracotienda.com","0",,"0",,"0",,"0",,"0.0","esgotado","22.95","Fuera de stock","0.0","esgotado","0",,"0",,"0",,"0",,"0",,"0",
"Broom Service","28.81","jogonamesa.pt","0",,"0",,"0",,"38.5","Esgotado","28.81","em 17 dias","0",,"0.0","esgotado","0",,"0",,"0",,"0",,"10000.0","Not found.","0",
"Cacao","19.9","cultodacaixa.pt","0",,"0",,"0",,"24.99","Em stock","21.95","em 24 dias","22.5","Fuera de stock","19.9","Em stock","0",,"0",,"25.0","EN REPOSICIÓN","0",,"0",,"2000.0","not implemented yet"
"Cacao + Expansao","29.85","www.planetongames.com","0",,"0",,"0",,"0",,"0",,"31.5","Disponible","0",,"0",,"0",,"0",,"29.85","Producto en stock","0",,"0",
"Cartographers","22.9","cultodacaixa.pt","0",,"0",,"0",,"24.95","Em stock","24.0","em 17 dias","0",,"22.9","Out of stock","0",,"26.99","Esgotado","0",,"0",,"10000.0","Not found.","0",
"Chocolate Factory","44.08","jogonamesa.pt","0",,"0",,"55.99","Últimos artigos em stock","54.95","Restock","44.08","Esgotado","0",,"0.0","esgotado","0",,"0",,"51.26","EN REPOSICIÓN","0",,"10000.0","Not found.","0",
